category,faqQuestion,faqAnswer,faqQuestionHindi,faqAnswerHindi,lastUpdated
Passenger,What do I need to know if l am a Traveler with a Disability or Medical Condition?,"In order to assist persons with disabilities or medical concerns, certain guidelines have been developed with input from various groups and have trained our airport screeners in the methodology needed to ensure secure and comfortable screening at all Security Checkpoints.","अगर मैं एक दिव्यांग या मेडिकल कंडीशन वाला यात्री हूँ, तो मुझे क्या जानना चाहिए?","दिव्यांग या चिकित्सीय स्थितियों वाले व्यक्तियों की सहायता के लिए, विभिन्न समूहों के इनपुट के साथ कुछ दिशानिर्देश विकसित किए गए हैं और सभी सुरक्षा जांच बिंदुओं पर सुरक्षित और आरामदायक स्क्रीनिंग सुनिश्चित करने के लिए हमारे एयरपोर्ट स्क्रीनर्स को आवश्यक प्रशिक्षण दिया गया है।",14-10-2024
Passenger,How can I get directions to the Kempegowda International Airport Bengaluru ?,"The most common landmark that passengers could ask for is Hebbal, which is a definite start point of your journey to reach Kempegowda International Airport Bengaluru. From Hebbal, you will get on to the National Highway (NH) 7, which is the Bangalore-Hyderabad Highway.",मैं केम्पेगौड़ा अंतरराष्ट्रीय हवाई अड्डे बेंगलुरु कैसे जा सकता हूं?,"यात्रियों द्वारा पूछे जाने वाले सबसे प्रमुख स्थान हेब्बल है, जो केम्पेगौड़ा अंतरराष्ट्रीय  हवाई अड्डे बेंगलुरु तक पहुंचने के लिए आपकी यात्रा की एक निश्चित शुरुआत बिंदु है। हेब्बल से, राष्ट्रीय राजमार्ग (NH) 7 पर जा सकते हैं जो बैंगलोर-हैदराबाद राजमार्ग है।",14-10-2024
Passenger,Are there any airport taxes charged at Kempegowda International Airport Bengaluru ? What is UDF ?,"UDF stands for User Development Fee, which is charged to all our passengers towards the construction, management, and operation of the Kempegowda International Airport Bengaluru. It is levied on embarking domestic and international passengers for the provision of passenger amenities, services, and facilities. The UDF is approved by the Ministry of Civil Aviation. At Kempegowda International Airport Bengaluru, a UDF of Rs. 1537.08 is collected from all our international departure passengers and Rs. 384.27 from all our domestic departure passengers. UDF is applicable to greenfield airports like Bangalore where the airport has been built from scratch requiring large investments",क्या केम्पेगौड़ा अंतर्राष्ट्रीय हवाई अड्डे बेंगलुरु में कोई हवाई अड्डा कर लगाया गया है? यूडीएफ़ क्या है?,"यूडीएफ, उपयोगकर्ता विकास शुल्क है, जो हमारे सभी यात्रियों को केम्पेगौड़ा इंटरनेशनल एयरपोर्ट बेंगलुरु के निर्माण, प्रबंधन और संचालन के लिए लगाया जाता है। यह यात्री सुविधाओं, सेवाओं और सुविधाओं के प्रावधान के लिए प्रस्थान करने वाले घरेलू और अंतर्राष्ट्रीय यात्रियों पर लगाया जाता है। यूडीएफ़ को नागर विमानन मंत्रालय द्वारा अनुमोदित किया गया है। केम्पेगौड़ा इंटरनेशनल एयरपोर्ट बेंगलुरु से रुपये 1537.08  का यूडीएफ हमारे सभी अंतर्राष्ट्रीय प्रस्थान यात्रियों और रुपये 384.27 हमारे सभी घरेलू प्रस्थान वाले यात्रियों  से एकत्र किया गया है।  यूडीएफ़ बैंगलोर जैसे ग्रीनफ़ील्ड हवाई अड्डों पर लागू होता है जहाँ हवाई अड्डे को बड़े निवेश की आवश्यकता होती है।",14-10-2024
Passenger,How do I travel between terminals at Indira Gandhi International Airport Delhi ?,Inter terminal transfer coaches are provided which connect passengers between Terminal 3 and Terminal 1D . A Inter Terminal Transfer Helpdesk is located outside the arrival terminals for assistance.,,,14-10-2024
Passenger,What are the details of car parking in Indira Gandhi International Airport Delhi ? Is self car parking available at Indira Gandhi International Airport Delhi,Self driven cars can be parked at the Multi Level Car Park located across from Terminal 3 and the Surface Car Park located across from Terminal 1. Please click http://www.newdelhiairport.in/delhi-airport-parking-services.aspx to check all details pertaining to parking at the airport.,,,14-10-2024
Passenger,Do you have a visitor area at Rajiv Gandhi International Airport Hyderabad ?,The area outside Arrival Hall is the Meeter’s and Greeters area and is known as the Airport Village. Visitors are permitted to enter the Airport Village on purchase of an Entry Ticket of Rs. 20/- (subject to certain conditions).,क्या राजीव गांधी अंतरराष्ट्रीय  हवाई अड्डा हैदराबाद में आगंतुक क्षेत्र है?,आगमन हॉल के बाहर का क्षेत्र मीटियर और ग्रीट्स क्षेत्र है और इसे एयरपोर्ट विलेज के नाम से जाना जाता है। आगंतुकों को ... रुपये के प्रवेश टिकट की खरीद पर एयरपोर्ट विलेज में प्रवेश करने की अनुमति है। (कुछ शर्तों के अधीन),14-10-2024
Passenger,Is there any Airline Lounge facility at Chennai International Airport ?,"Lounges at multiple locations in the Domestic & International Departures of Chennai Airport offers world class amenities including best of cuisines, plush seating, complimentary Wi-Fi, wide range of National, International & Regional dailies along with various magazines. Serving round the clock the lounges cater to Airline CIP customers as well as passengers availing access through Priority Pass, high-end credit cards and other loyalty cards.",क्या चेन्नई अंतरराष्ट्रीय  हवाई अड्डे पर कोई एयरलाइन लाउंज सुविधा है?,"चेन्नई हवाई अड्डे के घरेलू और अंतरराष्ट्रीय  विभागों में कई स्थानों पर लाउंज विभिन्न व्यंजनों के साथ-साथ आलीशान बैठने के स्थान, मानार्थ वाई-फाई, राष्ट्रीय, अंतरराष्ट्रीय  और क्षेत्रीय दैनिक समाचार पत्रों की विस्तृत श्रृंखला सहित विश्व स्तर की सुविधाएं प्रदान करता है। राउंड द क्लॉक सेवारत यह लाउंज एयरलाइन सीआईपी  ग्राहकों के साथ-साथ प्रायोरिटी पास, हाई-एंड क्रेडिट कार्ड्स और अन्य लॉयल्टी कार्ड्स के जरिए यात्रियों को सुविधाएं देते है।",14-10-2024
Passenger,What are the details of car parking in Cochin International Airport ?,The Cochin International Airport offers ample parking facility. The covered area alone can house 1400 cars. There is no need of booking. Please drive in and get your vehicle parked as long as you wish.,कोचीन अंतरराष्ट्रीय  हवाई अड्डे में कार पार्किंग के विवरण क्या हैं?,कोचीन अंतरराष्ट्रीय  हवाई अड्डा पर्याप्त पार्किंग सुविधा प्रदान करता है। अकेले कवर क्षेत्र में 1400 कारें खड़ी  हो सकती हैं। बुकिंग की कोई जरूरत नहीं है। जब तक आप चाहें तब तक अपना वाहन पार्क कर सकते हैं ।,14-10-2024
Passenger,Can I purchase an open-dated ticket when I book online on the Air India website?,No. The selected sectors must be booked on a confirmed basis and paid for at the same time.,क्या मैं एयर इंडिया की वेबसाइट पर ऑनलाइन बुकिंग करते समय एक ओपन-डेटेड टिकट खरीद सकता हूं?,"नहीं। चयनित क्षेत्रों को एक निश्चित समय पर बुक किया जाना चाहिए और उसी समय के लिए भुगतान किया जाना चाहिए। """,14-10-2024
Passenger,What type of aircraft does IndiGo fly?,IndiGo operates the Airbus A320–200 CEO & NEO aircraft and the ATR 72-600 aircraft. The seating capacity on A320 fleet is 180 and ATR Fleet is 74.,इंडिगो किस प्रकार का विमान उड़ाती है?,इंडिगो एयरबस A320–200 सीईओ और NEO विमान और ATR 72-600 विमान संचालित करता है। A320 बेड़े में बैठने की क्षमता 180 है और ATR फ्लीट 74 है।,14-10-2024
